# גיבוי מצב הרשימה ב-9.9.2026, לפני כל שינוי. שדות: פריט|כמות|קטגוריה|ארוחה|מי מביא|לקנות/מהבית|נקנה
קולה|6 בקבוקים|drinks|drinks|yavne|buy|0
קפה שחור|1|drinks|drinks|yavne|buy|0
ביצים|30|dairy|fri-bf|yavne|buy|0
קוטג׳|4|dairy|fri-bf|yavne|buy|0
בולגרית / פטה|2|dairy|fri-bf|yavne|buy|0
שמנת חמוצה|3|dairy|thu-din|yavne|buy|0
לחם, לחמניות ופיתות|5 חבילות|bread|fri-bf|yavne|buy|0
טורטיות|40–45|bread|thu-din|yavne|buy|0
מלפפונים|2.5 ק"ג|veg|fri-bf|yavne|buy|0
לימונים|6|veg|fri-bf|yavne|buy|0
עגבנייה, חסה ובצל להמבורגר||veg|fri-lun|yavne|buy|0
עגבניות|1 ק"ג|veg|thu-din|yavne|buy|0
תפוחי אדמה|3 ק"ג|veg|fri-din|yavne|buy|0
ענבים|2 ק"ג|veg|snacks|yavne|buy|0
זיתים|2 קופסאות|dry|fri-bf|yavne|buy|0
שוקולד למריחה|1|dry|fri-bf|yavne|buy|0
קטשופ|2|dry|fri-lun|yavne|buy|0
רוטב פסטו|1|dry|sat-lun|yavne|buy|0
טחינה|2|dry|fri-din|yavne|buy|0
מגשי מאפים / בורקסים|2–3|frozen|fri-bf|yavne|buy|0
קרקרים|3|snacks|snacks|yavne|buy|0
קולה זירו|6 בקבוקים|drinks|drinks|rehovot|buy|0
נס קפה|1|drinks|drinks|rehovot|buy|0
גבינה לבנה|4|dairy|fri-bf|rehovot|buy|0
חמאה|2 חבילות|dairy|fri-bf|rehovot|buy|0
פרמזן / גבינה מגורדת|1 ק"ג|dairy|sat-lun|rehovot|buy|0
גבינה צהובה / מוצרלה מגורדת|1 ק"ג|dairy|thu-din|rehovot|buy|0
טורטיות או בייגל לגיוון|2 חבילות|bread|fri-bf|rehovot|buy|0
לחמניות המבורגר|24|bread|fri-lun|rehovot|buy|0
אבוקדו|6–8|veg|fri-bf|rehovot|buy|0
פלפלים|1.5 ק"ג|veg|fri-bf|rehovot|buy|0
ירקות חתוכים לילדים||veg|fri-lun|rehovot|buy|0
חסה|2|veg|thu-din|rehovot|buy|0
ירקות לסלט גדול||veg|fri-din|rehovot|buy|0
תפוחים, נקטרינות ובננות||veg|snacks|rehovot|buy|0
קורנפלקס|3 קופסאות|dry|fri-bf|rehovot|buy|0
ריבה|1|dry|fri-bf|rehovot|buy|0
מיונז|2|dry|fri-lun|rehovot|buy|0
קטשופ ומיונז למנגל||dry|fri-din|rehovot|buy|0
נאצ׳וס|5–6 שקיות|snacks|thu-din|rehovot|buy|0
עוגיות|5–6 חבילות|snacks|snacks|rehovot|buy|0
המבורגרים|18–20|meat|fri-lun|rg|buy|0
נקניקיות|20|meat|fri-lun|rg|buy|0
חזה עוף חתוך לרצועות|2.5 ק"ג|meat|thu-din|rg|buy|0
בשר טחון|1.5 ק"ג|meat|thu-din|rg|buy|0
פרגיות|2.5 ק"ג|meat|fri-din|rg|buy|0
קבבים|1.5 ק"ג|meat|fri-din|rg|buy|0
כנפיים|1.5 ק"ג|meat|fri-din|rg|buy|0
סטייקים / אנטריקוט|1.5 ק"ג|meat|fri-din|rg|buy|0
נקניקיות לילדים|1 ק"ג|meat|fri-din|rg|buy|0
ספרייט / זירו|4 בקבוקים|drinks|drinks|rg|buy|0
קפסולות למכונה||drinks|drinks|rg|home|0
פיתות|30|bread|fri-din|rg|buy|0
בצל|3|veg|thu-din|rg|buy|0
כרוב לסלט|1|veg|fri-din|rg|buy|0
פסטה|3 ק"ג|dry|sat-lun|rg|buy|0
תירס|4 קופסאות|dry|thu-din|rg|buy|0
פיצות משפחתיות קפואות|5–6|frozen|sat-lun|rg|buy|0
ארטיקים וגלידות|25–30|frozen|snacks|rg|buy|0
קינוח חגיגי לארוחת החג||snacks|fri-din|rg|buy|0
פיצוחים למבוגרים|2–3 ק"ג|snacks|snacks|rg|buy|0
מיצים לילדים|6 בקבוקים|drinks|drinks|oryam|buy|0
תה|1|drinks|drinks|oryam|buy|0
גבינה צהובה|1.5 ק"ג|dairy|fri-bf|oryam|buy|0
גבינת שמנת|2|dairy|fri-bf|oryam|buy|0
חלב|6 ליטר|dairy|fri-bf|oryam|buy|0
לחמניות נקניקייה|20|bread|fri-lun|oryam|buy|0
חלות לקידוש|2|bread|fri-din|oryam|buy|0
עגבניות|2.5 ק"ג|veg|fri-bf|oryam|buy|0
חסה|2|veg|fri-bf|oryam|buy|0
חסה וירקות לסלט גדול|2 חסות|veg|sat-lun|oryam|buy|0
פלפלים|4|veg|thu-din|oryam|buy|0
אבטיח|2|veg|snacks|oryam|buy|0
טונה|8 קופסאות|dry|fri-bf|oryam|buy|0
דבש|1|dry|fri-bf|oryam|buy|0
חרדל|1|dry|fri-lun|oryam|buy|0
רוטב עגבניות|5–6 צנצנות|dry|sat-lun|oryam|buy|0
שעועית|3 קופסאות|dry|thu-din|oryam|buy|0
חמוצים|2|dry|fri-din|oryam|buy|0
שקיות חטיפים|10–12|snacks|snacks|oryam|buy|0
שוקולדים וממתקים לילדים||snacks|snacks|oryam|buy|0
יין לקידוש|2 בקבוקים|drinks|fri-din|moscow|buy|0
מים מינרליים 1.5 ליטר|6 שישיות|drinks|drinks|moscow|buy|0
סודה|8–10 בקבוקים|drinks|drinks|moscow|buy|0
סוכר|1|drinks|drinks|moscow|buy|0
בירות|לפי ההעדפות|drinks|drinks|moscow|buy|0
יין לארוחות|לפי ההעדפות|drinks|drinks|moscow|buy|0
אלכוהול למבוגרים|לפי ההעדפות|drinks|drinks|moscow|buy|0
יוגורטים לילדים|18–24|dairy|fri-bf|moscow|buy|0
שמנת לבישול|1 ליטר|dairy|sat-lun|moscow|buy|0
בצל סגול|3|veg|fri-bf|moscow|buy|0
פירות לבוקר — ענבים / תפוחים|2 ק"ג|veg|fri-bf|moscow|buy|0
אבוקדו לגווקמולי|6|veg|thu-din|moscow|buy|0
חצילים, פלפלים ותירס למנגל||veg|fri-din|moscow|buy|0
מלון|2|veg|snacks|moscow|buy|0
חמוצים|2 צנצנות|dry|fri-lun|moscow|buy|0
סלסה|3 צנצנות|dry|thu-din|moscow|buy|0
חומוס|3|dry|fri-din|moscow|buy|0
צ׳יפס קפוא|4 ק"ג|frozen|fri-lun|moscow|buy|0
לחם שום|3–4|frozen|sat-lun|moscow|buy|0
בייגלה|3 שקיות|snacks|snacks|moscow|buy|0
מלח ופלפל||spice||oryam|buy|0
שמן זית|1|spice||moscow|buy|0
שמן לטיגון|1|spice||yavne|buy|0
תבלינים לבשר ולעוף||spice||rehovot|buy|0
נייר סופג|6 גלילים|dispo||rg|buy|0
נייר טואלט|לפי מה שהווילה מספקת|dispo||oryam|buy|0
מפיות|2 חבילות|dispo||moscow|buy|0
כוסות חד"פ||dispo||yavne|buy|0
צלחות חד"פ||dispo||rehovot|buy|0
סכו"ם חד"פ||dispo||rg|buy|0
כוסות לקפה||dispo||oryam|buy|0
שקיות אשפה גדולות|2 גלילים|dispo||moscow|buy|0
נייר כסף|2|dispo||yavne|buy|0
ניילון נצמד|1|dispo||rehovot|buy|0
שקיות זיפר|1 חבילה|dispo||rg|buy|0
קופסאות לאחסון שאריות||dispo||oryam|home|0
